goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkRangeFull/Set/8-8                 	26998851	        44.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/8-8                 	27060192	        43.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Frozen/8-8              	10849209	       109.1 ns/op	     192 B/op	       2 allocs/op
BenchmarkRangeFull/Frozen/8-8              	10883202	       108.7 ns/op	     192 B/op	       2 allocs/op
BenchmarkRangeFull/Frozen/8-8              	10966498	       108.6 ns/op	     192 B/op	       2 allocs/op
BenchmarkRangeFull/Frozen/8-8              	10833196	       108.6 ns/op	     192 B/op	       2 allocs/op
BenchmarkRangeFull/Frozen/8-8              	10977354	       109.2 ns/op	     192 B/op	       2 allocs/op
BenchmarkRangeFull/Stable/8-8              	307474578	         3.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Stable/8-8              	312414133	         3.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Stable/8-8              	312100459	         3.854 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Stable/8-8              	310744441	         3.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Stable/8-8              	311270958	         3.839 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/32-8                	 5029074	       237.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/32-8                	 5035495	       238.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/32-8                	 5020296	       236.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeFull/Set/32-8                	 5056872	       236.5 ns/op	       0 B/op	       0 allocs/op
